game,move,turn,our_eval,fen,w_BREAKING_PAWN_CHAINS_BONUS,w_CONTROL_CENTER_BONUS,w_END_RATE,w_KING_SAFETY_BONUS,w_OPEN_RATE,w_PASSED_PAWN_BONUS,w_bishop_pair_bonus,w_enemy_king_center_bonus,w_enemy_king_corner_bonus,w_hanging_piece_penalty,w_knight_on_the_rim_penalty,w_pawn_chain_bonus,w_pieac_pos_bonus,w_squares_controlled_bonus,b_BREAKING_PAWN_CHAINS_BONUS,b_CONTROL_CENTER_BONUS,b_END_RATE,b_KING_SAFETY_BONUS,b_OPEN_RATE,b_PASSED_PAWN_BONUS,b_bishop_pair_bonus,b_enemy_king_center_bonus,b_enemy_king_corner_bonus,b_hanging_piece_penalty,b_knight_on_the_rim_penalty,b_pawn_chain_bonus,b_pieac_pos_bonus,b_squares_controlled_bonus
1,1,white,6.938893903907228e-18,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,2,black,-0.0017599999999999786,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,3,white,-0.011759999999999972,rnbqkbnr/1ppppppp/p7/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,4,black,-0.023519999999999992,rnbqkbnr/1ppppppp/p7/8/8/2P2P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,5,white,-0.014700000000000005,rnbqkbnr/1ppppp1p/p5p1/8/8/2P2P2/PP1PP1PP/RNBQKBNR w KQkq - 0 3,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,6,black,0.04907999999999996,rnbqkbnr/1ppppp1p/p5p1/8/8/N1P2P2/PP1PP1PP/R1BQKBNR b KQkq - 1 3,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,7,white,-0.07847999999999994,rnbqkbnr/1pp1pp1p/p2p2p1/8/8/N1P2P2/PP1PP1PP/R1BQKBNR w KQkq - 0 4,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,8,black,-0.07847999999999994,rnbqkbnr/1pp1pp1p/p2p2p1/8/8/N1P2P2/PP1PPKPP/R1BQ1BNR b kq - 1 4,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,9,white,-0.14226,rn1qkbnr/1ppbpp1p/p2p2p1/8/8/N1P2P2/PP1PPKPP/R1BQ1BNR w kq - 2 5,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
1,10,black,-0.14226,rn1qkbnr/1ppbpp1p/p2p2p1/8/8/N1P1KP2/PP1PP1PP/R1BQ1BNR b kq - 3 5,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579,0.01,3.3876,0.3995,7.0014,0.4542,0.8247,2.5685,1.1242,1.0072,2.3199,2.7241,0.01,0.0588,0.0579
