game_id,move_number,fen,move_uci,eval_cp,turn
1,1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,46,white
1,2,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,d7d6,-46,black
1,3,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,49,white
1,4,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,g8f6,-50,black
1,5,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,b1c3,51,white
1,6,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,g7g6,-50,black
1,7,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,g1f3,86,white
1,8,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 4,f8g7,-63,black
1,9,rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 2 5,c1e3,73,white
1,10,rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 3 5,e8g8,-78,black
1,11,rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQ - 4 6,e4e5,61,white
1,12,rnbq1rk1/ppp1ppbp/3p1np1/4P3/3P4/2N1BN2/PPP2PPP/R2QKB1R b KQ - 0 6,d6e5,56,black
1,13,rnbq1rk1/ppp1ppbp/5np1/4p3/3P4/2N1BN2/PPP2PPP/R2QKB1R w KQ - 0 7,d4e5,-27,white
1,14,rnbq1rk1/ppp1ppbp/5np1/4P3/8/2N1BN2/PPP2PPP/R2QKB1R b KQ - 0 7,d8d1,60,black
1,15,rnb2rk1/ppp1ppbp/5np1/4P3/8/2N1BN2/PPP2PPP/R2qKB1R w KQ - 0 8,a1d1,3,white
1,16,rnb2rk1/ppp1ppbp/5np1/4P3/8/2N1BN2/PPP2PPP/3RKB1R b K - 0 8,f6g4,9,black
1,17,rnb2rk1/ppp1ppbp/6p1/4P3/6n1/2N1BN2/PPP2PPP/3RKB1R w K - 1 9,e3c1,-5,white
1,18,rnb2rk1/ppp1ppbp/6p1/4P3/6n1/2N2N2/PPP2PPP/2BRKB1R b K - 2 9,b8c6,111,black
1,19,r1b2rk1/ppp1ppbp/2n3p1/4P3/6n1/2N2N2/PPP2PPP/2BRKB1R w K - 3 10,f1b5,-95,white
1,20,r1b2rk1/ppp1ppbp/2n3p1/1B2P3/6n1/2N2N2/PPP2PPP/2BRK2R b K - 4 10,g4e5,96,black
1,21,r1b2rk1/ppp1ppbp/2n3p1/1B2n3/8/2N2N2/PPP2PPP/2BRK2R w K - 0 11,f3e5,-89,white
1,22,r1b2rk1/ppp1ppbp/2n3p1/1B2N3/8/2N5/PPP2PPP/2BRK2R b K - 0 11,c6e5,95,black
1,23,r1b2rk1/ppp1ppbp/6p1/1B2n3/8/2N5/PPP2PPP/2BRK2R w K - 0 12,e1g1,-97,white
1,24,r1b2rk1/ppp1ppbp/6p1/1B2n3/8/2N5/PPP2PPP/2BR1RK1 b - - 1 12,c7c6,126,black
1,25,r1b2rk1/pp2ppbp/2p3p1/1B2n3/8/2N5/PPP2PPP/2BR1RK1 w - - 0 13,b5a4,-125,white
1,26,r1b2rk1/pp2ppbp/2p3p1/4n3/B7/2N5/PPP2PPP/2BR1RK1 b - - 1 13,c8f5,142,black
1,27,r4rk1/pp2ppbp/2p3p1/4nb2/B7/2N5/PPP2PPP/2BR1RK1 w - - 2 14,c1f4,-132,white
1,28,r4rk1/pp2ppbp/2p3p1/4nb2/B4B2/2N5/PPP2PPP/3R1RK1 b - - 3 14,a8d8,208,black
1,29,3r1rk1/pp2ppbp/2p3p1/4nb2/B4B2/2N5/PPP2PPP/3R1RK1 w - - 4 15,f4e5,-143,white
1,30,3r1rk1/pp2ppbp/2p3p1/4Bb2/B7/2N5/PPP2PPP/3R1RK1 b - - 0 15,g7e5,292,black
1,31,3r1rk1/pp2pp1p/2p3p1/4bb2/B7/2N5/PPP2PPP/3R1RK1 w - - 0 16,d1d8,-277,white
1,32,3R1rk1/pp2pp1p/2p3p1/4bb2/B7/2N5/PPP2PPP/5RK1 b - - 0 16,f8d8,304,black
1,33,3r2k1/pp2pp1p/2p3p1/4bb2/B7/2N5/PPP2PPP/5RK1 w - - 0 17,f1e1,-301,white
1,34,3r2k1/pp2pp1p/2p3p1/4bb2/B7/2N5/PPP2PPP/4R1K1 b - - 1 17,e5c3,298,black
1,35,3r2k1/pp2pp1p/2p3p1/5b2/B7/2b5/PPP2PPP/4R1K1 w - - 0 18,b2c3,-339,white
1,36,3r2k1/pp2pp1p/2p3p1/5b2/B7/2P5/P1P2PPP/4R1K1 b - - 0 18,d8d2,322,black
1,37,6k1/pp2pp1p/2p3p1/5b2/B7/2P5/P1Pr1PPP/4R1K1 w - - 1 19,a4b3,-326,white
1,38,6k1/pp2pp1p/2p3p1/5b2/8/1BP5/P1Pr1PPP/4R1K1 b - - 2 19,f5c2,439,black
1,39,6k1/pp2pp1p/2p3p1/8/8/1BP5/P1br1PPP/4R1K1 w - - 0 20,h2h3,-439,white
1,40,6k1/pp2pp1p/2p3p1/8/8/1BP4P/P1br1PP1/4R1K1 b - - 0 20,c2b3,444,black
1,41,6k1/pp2pp1p/2p3p1/8/8/1bP4P/P2r1PP1/4R1K1 w - - 0 21,a2b3,-418,white
1,42,6k1/pp2pp1p/2p3p1/8/8/1PP4P/3r1PP1/4R1K1 b - - 0 21,g8f8,421,black
1,43,5k2/pp2pp1p/2p3p1/8/8/1PP4P/3r1PP1/4R1K1 w - - 1 22,b3b4,-414,white
